Ver. 2010.09,unit,Town,Lat. ,Long. ,Trees,Beech,Maples,Birches,Ashs,Hemlock,Basswood,Elms,Pines,Hickories,Spruces,Fir,Cedar,Oaks,Chestnut,Ironwoods,Poplars,Tamarack,Cherries,Chamae'is,Nyssa,Juglans ,Buttonwood,Liriodendron ,Magnolia
CT,%,Coventry,41.7823,-72.3475,669,0,0.007473842,0.00896861,0.01793722,0.00896861,0,0.004484305,0.013452915,0.165919283,0,0,0,0.650224215,0.082212257,0,0.022421525,0,0.011958146,0.001494768,0,0.001494768,0,0,0
CT,%,MansfCT,41.7798,-72.2092,1056,0,0.042613636,0.015151515,0.03219697,0,0.003787879,0.005681818,0.009469697,0.077651515,0.00094697,0,0,0.733901515,0.055871212,0.001893939,0.005681818,0,0.002840909,0,0.011363636,0,0,0,0
CT,%,Harwinton,41.76,-73.064,67,0.014925373,0.029850746,0,0.044776119,0.029850746,0.014925373,0,0.014925373,0.104477612,0,0,0,0.582089552,0.104477612,0.014925373,0.044776119,0,0,0,0,0,0,0,0
CT,%,Kent,41.74,-73.41,176,0.005681818,0.045454545,0.028409091,0.039772727,0.022727273,0,0.034090909,0.005681818,0.028409091,0,0,0,0.596590909,0.164772727,0,0,0,0,0,0.005681818,0.005681818,0,0.017045455,0
CT,%,Litchfield,41.73,-73.2,593,0.005059022,0.065767285,0.033726813,0.057335582,0.011804384,0.011804384,0.037099494,0.02698145,0.072512648,0,0,0,0.536256324,0.075885329,0.008431703,0.02698145,0,0.016863406,0,0,0.013490725,0,0,0
RI,%,Barrington-Sowams,41.72,-71.3,427,0.009367681,0.072599532,0.049180328,0.058548009,0,0,0.009367681,0.044496487,0.103044496,0,0,0,0.611241218,0.011709602,0.00234192,0,0,0.00234192,0.00234192,0.018735363,0,0.00234192,0,0
CT,%,Windham,41.713,-72.1588,858,0,0.024475524,0.017482517,0.025641026,0,0.002331002,0,0.004662005,0.083916084,0,0,0,0.738927739,0.079254079,0.001165501,0.009324009,0,0.003496503,0.004662005,0.002331002,0.001165501,0,0.001165501,0
RI,%,WarwkRI,41.7004,-71.492,193,0.005181347,0.088082902,0.015544041,0.015544041,0,0,0,0.031088083,0.056994819,0.010362694,0,0,0.715025907,0.031088083,0,0,0,0,0.005181347,0,0,0.010362694,0,0
CT,%,CntbryCT,41.6948,-72.0043,859,0,0.01862631,0.024447031,0.010477299,0.005820722,0.006984866,0,0.027939464,0.081490105,0,0,0,0.755529686,0.036088475,0.005820722,0.013969732,0,0.002328289,0.001164144,0,0.006984866,0,0,0
CT,%,Glastonbury,41.6935,-72.5508,197,0,0,0.035532995,0.010152284,0,0.005076142,0.005076142,0.060913706,0.157360406,0.005076142,0,0,0.614213198,0.101522843,0,0.005076142,0,0,0,0,0,0,0,0
