Ver. 2010.09,,Town,Lat. ,Long. ,Trees,Beech,Maples,Birches,Ashs,Hemlock,Basswood,Elms,Pines,Hickories,Spruces,Fir,Cedar,Oaks,Chestnut,Ironwoods,Poplars,Tamarack,Cherries,Chamae'is,Nyssa,Juglans ,Buttonwood,Liriodendron ,Magnolia,Other
NY,%,T12 RI P&G,43.09,-77.09,108,42.59%,17.59%,0.00%,10.19%,1.85%,4.63%,4.63%,0.00%,7.41%,0.00%,0.00%,0.00%,3.70%,0.00%,3.70%,0.00%,1.85%,0.00%,0.00%,0.00%,0.93%,0.93%,0.00%,0.00%,0.00%
NY,%,Camillus,43.08,-76.36,149,39.60%,19.46%,1.34%,10.07%,12.08%,8.05%,3.36%,0.67%,3.36%,0.00%,0.00%,0.67%,0.00%,0.00%,0.67%,0.00%,0.67%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,Brutus,43.08,-76.6,77,37.66%,23.38%,2.60%,22.08%,1.30%,0.00%,5.19%,0.00%,0.00%,0.00%,0.00%,0.00%,2.60%,0.00%,1.30%,0.00%,1.30%,0.00%,0.00%,0.00%,0.00%,2.60%,0.00%,0.00%,0.00%
NY,%,Perinton all,43.08,-77.43,86,38.37%,17.44%,0.00%,11.63%,0.00%,0.00%,0.00%,1.16%,4.65%,1.16%,0.00%,0.00%,19.77%,0.00%,4.65%,0.00%,0.00%,0.00%,0.00%,0.00%,1.16%,0.00%,0.00%,0.00%,0.00%
NY,%,Pult T12 RII&III,43.08,-77.25,78,57.69%,12.82%,1.28%,14.10%,3.85%,1.28%,3.85%,0.00%,0.00%,0.00%,0.00%,0.00%,2.56%,0.00%,1.28%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.28%,0.00%,0.00%
NY,%,Canastota Tract,43.078,-75.782,153,25.49%,16.99%,3.27%,15.69%,21.57%,3.92%,4.58%,0.00%,0.65%,0.00%,0.00%,1.31%,0.00%,0.00%,1.96%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,3.27%,0.00%,0.00%,1.31%
NY,%,TriangleSouth,43.06,-77.94,130,33.85%,22.31%,0.77%,0.77%,1.54%,13.08%,8.46%,0.00%,0.77%,0.00%,0.00%,0.00%,14.62%,1.54%,2.31%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,"Kay West (Allots 14, 16, 21)",43.05,-74,146,29.45%,6.16%,0.00%,8.90%,18.49%,9.59%,1.37%,15.75%,0.00%,0.00%,0.00%,0.00%,4.79%,0.68%,2.74%,0.00%,0.00%,0.00%,0.00%,0.00%,2.05%,0.00%,0.00%,0.00%,0.00%
NY,%,Coxbury ,43.05,-75.39,84,55.95%,11.90%,7.14%,1.19%,5.95%,8.33%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.19%,2.38%,3.57%,0.00%,0.00%,2.38%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,Cambridge Patent composite,43.0383,-73.4067,118,34.75%,20.34%,1.69%,3.39%,5.08%,1.69%,3.39%,8.47%,1.69%,0.00%,0.00%,0.00%,11.02%,5.93%,1.69%,0.00%,0.00%,0.85%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,White Creek,43.03,-73.3,92,46.74%,17.39%,8.70%,3.26%,0.00%,5.43%,1.09%,3.26%,1.09%,0.00%,0.00%,0.00%,6.52%,0.00%,5.43%,0.00%,0.00%,0.00%,0.00%,0.00%,1.09%,0.00%,0.00%,0.00%,0.00%
NY,%,Saratoga Pat. East,43.0245,-73.5377,213,12.21%,17.37%,3.76%,0.94%,4.23%,1.88%,1.41%,6.57%,3.29%,0.00%,0.00%,0.00%,36.62%,7.51%,1.88%,2.35%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
NY,%,Candga Outlet,43.02,-77,147,41.50%,12.93%,1.36%,4.08%,2.04%,4.76%,4.76%,4.08%,4.08%,0.00%,0.00%,0.00%,14.97%,0.68%,1.36%,0.00%,0.00%,0.68%,0.00%,0.00%,0.00%,1.36%,1.36%,0.00%,0.00%
NY,%,"Kay Lake (Allots 5,9,15)",43.00867,-73.7707,160,10.63%,8.13%,5.63%,5.63%,8.75%,2.50%,1.25%,10.00%,4.38%,0.00%,0.00%,0.00%,29.38%,2.50%,6.25%,0.63%,2.50%,0.00%,0.00%,0.00%,1.88%,0.00%,0.00%,0.00%,0.00%
