      Lon      Lat    Year  FireRT
   -73.75    42.75    1919   828.5
   -73.75    42.75    1920   399.9
   -73.75    42.75    1921   134.3
   -73.75    42.75    1922   832.4
   -73.75    42.75    1923   126.8
   -73.75    42.75    1924   237.6
   -73.75    42.75    1925  1000.0
   -73.75    42.75    1926   233.1
   -73.75    42.75    1927   372.6
   -73.75    42.75    1928  1000.0
   -73.75    42.75    1929   365.5
   -73.75    42.75    1930   174.4
   -73.75    42.75    1931  1000.0
   -73.75    42.75    1932   433.7
   -73.75    42.75    1933   147.5
   -73.75    42.75    1934   207.2
   -73.75    42.75    1935   830.1
   -73.75    42.75    1936   159.3
   -73.75    42.75    1937   660.0
   -73.75    42.75    1938   347.8
   -73.75    42.75    1939   158.1
   -73.75    42.75    1940   398.6
   -73.75    42.75    1941   209.2
   -73.75    42.75    1942   356.4
   -73.75    42.75    1943   930.5
   -73.75    42.75    1944   180.6
   -73.75    42.75    1945   463.3
   -73.75    42.75    1946   571.8
   -73.75    42.75    1947   134.0
   -73.75    42.75    1948   144.2
   -73.75    42.75    1949   127.2
   -73.75    42.75    1950   157.2
   -73.75    42.75    1951   892.3
   -73.75    42.75    1952   579.3
   -73.75    42.75    1953   148.9
   -73.75    42.75    1954   348.2
   -73.75    42.75    1955   200.8
   -73.75    42.75    1956   140.0
   -73.75    42.75    1957   200.9
   -73.75    42.75    1958   118.7
   -73.75    42.75    1959    99.4
   -73.75    42.75    1960   234.7
   -73.75    42.75    1961   252.6
   -73.75    42.75    1962   153.5
   -73.75    42.75    1963   209.5
   -73.75    42.75    1964    79.2
   -73.75    42.75    1965   121.4
   -73.75    42.75    1966   834.9
   -73.75    42.75    1967   480.0
   -73.75    42.75    1968   238.8
   -73.75    42.75    1969   550.1
   -73.75    42.75    1970   184.4
   -73.75    42.75    1971   219.6
   -73.75    42.75    1972   661.0
   -73.75    42.75    1973   328.2
   -73.75    42.75    1974   827.1
   -73.75    42.75    1975   524.7
   -73.75    42.75    1976   984.2
   -73.75    42.75    1977   546.3
   -73.75    42.75    1978   414.1
   -73.75    42.75    1979   206.0
   -73.75    42.75    1980   128.7
   -73.75    42.75    1981   317.6
   -73.75    42.75    1982   454.5
   -73.75    42.75    1983   148.5
   -73.75    42.75    1984   728.1
   -73.75    42.75    1985   163.6
   -73.75    42.75    1986   841.3
   -73.75    42.75    1987   191.4
   -73.75    42.75    1988   160.5
   -73.75    42.75    1989   954.2
   -73.75    42.75    1990   211.4
   -73.75    42.75    1991   123.8
   -73.75    42.75    1992   510.2
   -73.75    42.75    1993   125.2
   -73.75    42.75    1994  1000.0
   -73.75    42.75    1995   115.6
   -73.75    42.75    1996   554.2
   -73.75    42.75    1997   133.4
   -73.75    42.75    1998   271.0
   -73.75    42.75    1999   134.6
   -73.75    42.75    2000   951.6
   -73.75    42.75    2001   335.8
   -73.75    42.75    2002   213.3
   -73.75    42.75    2003   456.0
   -73.75    42.75    2004   863.0
   -73.75    42.75    2005   502.3
   -73.75    42.75    2006  1000.0
